asset_number,title,department,manufacturer,manufacturer_model_number,manufacturer_serial_number,vendor,vendor_catalog_number,purchase_order_number,portable,asset_description,intended_use,process_range,classification,new_SOP,new_logbooks,calibration_required,calibration_justification_no,calibration_description,calibration_frequency,maintenance_required,maintenance_justification_no,maintenance_description,maintenance_frequency,scan_attached,tier_level,qual_val_needed,validation_justification_no,validation_description,protocol_number,comments
1737,Priorclave Compact 40 Autoclave,MF,Priorclave,PNA/QVA/C40,4090,Priorclave,PNA/QVA/C40,31932,No,Sterilizing Autoclave,Sterilizing pH and dissolved oxygen probes for use in GMP manufacturing,>121C,GMP,Yes,Yes,Yes,N/A,122C for 30 minutes,CAL-12,Yes,N/A,See Priorclave recommended PM checklist attached,PM-12,Yes,Tier 2,Yes,N/A,IOQ (17008-IOQ-P) performed by manufacturer (Priorclave) - calibration part of the IOQ protocol,17008-IOQ-P,N/A
1738,Centrifuge MiniSpin,AD,Eppendorf,5452,5452FG088648,Fisher Scientific,022620100,"35,786",Yes,Bench top centrifuge,Centrifugation of samples,0-13.1 krpm,GMP,No,No,Yes,N/A,"500, 2000, 4500 rpm +/- 5%, +/- 2C, +/- 1 min",CAL-6,Yes,N/A,"(1) Check unit voltage and amperage (2) Check refrigeration system (3) Inspect Rotors for pittance or imbalance (4) Check lid latch safety for proper operation (5) Check gaeskets, seals, latches and hinges (6)Check cycle timer",PM-6,Yes,Tier 3,No,Centrifuges get calibrated prior to use and does not require additional qualification/validation,N/A,,
1739,Multichannel 1250ul pipette,QC,Thermo,4672100,NH74312,Thermo,4672100,N/A,Yes,Multichannel 1250ul pipette,General lab use,125-1250uL,GMP,No,No,Yes,N/A,Level 4 Calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,"Tier 4 pipettes do not get qualified, only calibrated",N/A,,
1740,Multichannel 1250ul pipette,QC,Thermo,4672100,NH74313,Thermo,4672100,N/A,Yes,Multichannel 1250ul pipette,General lab use,125-1250ul,GMP,No,No,Yes,N/A,Level 4 Calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,"Tier 4 pipettes do not get qualified, only calibrated",N/A,,
1741,Multichannel 1250ul pipette,QC,Thermo,4672100,NH44558,Thermo,4672100,N/A,Yes,Multichannel 1250ul pipette,General lab use,125-1250ul,GMP,No,No,Yes,N/A,Level 4 Calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,"Tier 4 pipettes do not get qualified, only calibrated",N/A,,
1742,Multichannel 300ul pipette,QC,Thermo,4672080,NJ00126,Thermo,4672080,N/A,Yes,Multichannel 300ul pipette,General lab use,30-300ul,GMP,No,No,Yes,N/A,Level 4 pipette calibration,CAL-6,Yes,N/A,Level 4 Pipette PM,PM-6,Yes,Tier 4,No,"Tier 4 pipettes do not get qualified, only calibrated",N/A,,
1743,Multichannel 300ul pipette,QC,Thermo,4672080,NH87311,Thermo,4672080,N/A,Yes,Multichannel 300ul pipette,General l;ab use,30-300ul,GMP,No,No,Yes,N/A,Level 4 Pipette Calibration,CAL-6,Yes,N/A,Level 4 Pipette PM,PM-6,Yes,Tier 4,No,"Tier 4 pipettes do not get qualified, only calibrated",N/A,,
1744,Multichannel 300ul pipette,QC,Thermo,4672080,NJ00127,Thermo,4672080,N/A,Yes,Multichannel 300ul pipette,General lab use,30-300ul,GMP,No,No,Yes,N/A,Level 4 Calibration,CAL-6,Yes,N/A,Level 4 PM,PM-6,Yes,Tier 4,No,"Tier 4 pipettes do not get qualified, only calibrated",N/A,,
1745,Oxygen Sensor,QC,"Honeywell Analytics, Inc",E3SAH,SA131700023,AirGas,V89-ES1592,37226,No,E3point Standalone Gas Monitor is a toxic or combustible gas detection system,This unit will be used to determine oxygen levels in Rm220.,19.5-23.5 % oxygen,GMP,No,Yes,Yes,N/A,oxygen level calibrated to ensure it is between 19.5% - 23.5% ,CAL-6,Yes,N/A,"Inspect monitor case and sensor for cracks or other damage, clean monitor case, display and keypad",PM-6,Yes,Tier 3,No,Sensor gets calibrated instead of validated ,N/A,,
1746,1746: Pipettor,PB,VWR,VWR VE100,742740170,VWR,89079-968,38801,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,10-100μL,Other,No,No,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP,N/A,,
1747,1747: Pipettor,PB,VWR,VWR VE1000,742760296,VWR,89079-974,38801,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use to assist in research and development,100-1000,Other,No,No,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP,N/A,,
1748,1748: Pipettor,PB,VWR,VWR VE1000,642763703,VWR,89079-974,37909,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use to assist in research and development,100-1000μL,Other,No,No,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP,N/A,,
1749,1749: Pipettor,PB,VWR,VWR VE10,642721569,VWR,89079-962,37909,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use to assist in research and development,0.5-10μL,Other,No,No,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP,N/A,,
1750,1750: Pipettor,PB,VWR,VWR VE20,642731947,VWR,89079-964,37909,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use to assist in research and development,2-20μL,Other,No,No,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP,N/A,,
1751,1751: Pipettor,PB,VWR,VWR VE200,642751608,VWR,89079-970,38801,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use to assist in research and development,20-200μL,Other,No,No,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP,N/A,,
1752,1752: Pipettor,PB,VWR,VWR VE200,642752337,VWR,89079-970,37909,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use to assist in research and development,20-200μL,Other,No,No,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No,Non-GMP (R&D) pipette - calibration/PM done on as needed basis (level 2),N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP,N/A,N/A,N/A
1753,Biowelder TC,MF,Sartorius,16389,BWTC1465,Sartorius,16389,37179,Yes,Sartorius Stedim Biowelder,"Sterile welding of tubing to be used for liquid transfers in the GMP process steps. This will be used as a backup to our existing units. This unit could impact the sterility of the Wave bag, bioreactor, and harvest steps of the cell culture process",N/A,GMP,No,No,Yes,N/A,(1) Depyrogenation Temp: >400°C for time >5 seconds (2) Ref. Temp. between 225°C & 255°C for time >10 seconds,CAL-6,Yes,N/A,(1) Inspect unit (2) Clean IR sensor (3) Clean internal parts with compressed air (4) Inspect latch bearing (5) Perform and verify test welds,PM-6,Yes,Tier 2,No,Unit is calibrated by manufacturer prior to use and does not require qualification/validation.,N/A,,
1754,1754: Pipettor,PB,VWR,VWR VE5000,742780275,VWR,89079-976,38990,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use to assist in research and development,1-5 mL,Other,No,No,No,non-GMP pipette - level 2 calibration as needed,N/A,N/A,No,non-GMP pipette level 2 PM as needed,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette,N/A,,
1755,1755: Pipettor,PB,Eppendorf,022290002,H28402229000214,VWR,53512-930,38990,Yes,Eppendorf Maxipettor 4720 pipette,General lab use to assist in research and development,1-10 mL,Other,No,No,No,Non-GMP pipette; calibration/PM as needed,N/A,N/A,No,Non-GMP pipette; calibration/PM as needed,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,Non-GMP pipette,N/A,,
1756,1756: Pipettor,PB,VWR,VWR VE2,642711121,VWR,89079-960,37598,Yes,VWR Signature Ergonomic High Performance Single-Channel Variable Volume Pipettor,Assist in general lab research and development,.2-2µL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required.,N/A,,
1757,1757: Pipettor,PB,VWR,VWR VE10,642721208,VWR,89079-962,37598,Yes,VWR Signature Ergonomic High Performance Single-Channel Variable Volume Pipettor,Assist in general lab research and development,0.5-10 µL,Other,No,No,No,non-GMP Pipette: calibration typically done annually but not required.,N/a,N/A,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,,
1758,Digital Timer,MF,Control Company,62344-641,160894327,VWR,62344-641,36322,Yes,Calibrated dgital timer,Unit will measure time,"00:00:00 - 59:59:59 ( hours, minutes, seconds)",GMP,No,No,No,Unit will be discarded when the calibration expires in NOV2018,N/A,N/A,No,Unit will be discarded when the calibration expires in NOV2018,N/A,N/A,Yes,Tier 4,No,Timers do not get qualified,N/A,,
1759,Digital Timer,MF,Control Company,62344-641,160744279,VWR,62344-641,36322,Yes,Calibrated ditigal timer,To measure time,00:00:00 - 59:59:59 ,GMP,No,No,No,Unit will be discarded when the calibration expires in SEP2018,N/A,N/A,No,Unit will be discarded when the calibration expires in SEP2018,N/A,N/A,Yes,Tier 4,No,Timers do not get qualified,N/A,,
1760,Digital Timer,MF,Control Company,62344-641,160726380,VWR,62344-641,36322,Yes,Calibrated digital timer,To measure time,00:00:00 - 59:59:59,GMP,No,No,No,Unit will be discarded when the calibration expires in SEP2018,N/A,N/A,No,Unit will be discarded when the calibration expires in SEP2018,N/A,N/A,Yes,Tier 4,No,Timers do not get qualified,N/A,,
1761,Digital Thermometer,MF,Control Company,23609-176,160787159,VWR,23609-176,36322,Yes,Traceable digital thermometer,to measure temperature of process liquids,-50C - 300C,GMP,No,No,No,Unit will be discarded after the calibration expires in SEP2018,N/A,N/A,No,Unit will be discarded after the calibration expires in SEP2018,N/A,N/A,Yes,Tier 4,No,Thermometers do not get qualified,N/A,,
1762,Long stem digital thermometer,MF,Control Company,23609-176,160787095,VWR,23609-176,36322,Yes,Calibrated traceable digital thermometer,to measure process liquids,-50C - 300C,GMP,No,No,No,Unit will be discarded after the calibration expires in SEP2018,N/A,N/A,No,Unit will be discarded after the calibration expires in SEP2018,N/A,N/A,Yes,Tier 4,No,Thermometers do not get qualified,N/A,,
1763,AD PA800 Plus CE,AD,Beckman Coulter,A74603,A746031904,AB Sciex,PA800plus,37988,Yes,PA800 plus capillary electrophoresis instrument with PDA and UV detectors,"analytical method development, routine sample tests, method transfer",NA,Other,No,No,Yes,N/A,Annually per MFG specifications,CAL-12,Yes,N/A,Annually per MFG specifications,PM-12,,Tier 4,No,N/A,Not being used for GMP use,,
1764,AD Acuity UPLC Assaet Tag,AD,Waters,Acquity UPLC I Class,C17BUR395G,Waters,NA,37636,No,UPLC Instrument,Analytical Characterization including late stage and early stage acquisition of data. Data is acquired by Empower server.,NA,Other,No,No,,,,,,,,,,,,,,,
1765,1765 - Pipettor,PB,VWR,VWR VE10,742720241,VWR,89079-962,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,0.5-10 μL,Other,No,No,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,,
1766,1766: Pipettor,PB,VWR,VWR VE10,742720233,VWR,89079-962,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,0.5-10 μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required.,N/A,,
1767,1767: Pipettor,PB,VWR,VWR VE2,742710709,VWR,89079-960,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,0.2-2.0 μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required.,N/A,,
1768,1768: Pipettor,PB,VWR,VWR VE2,742710601,VWR,89079-960,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,0.2 - 2.0 μL,Other,No,No,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,,
1769,1769: Pipettor,PB,VWR,VWR VE1000,742761955,VWR,89079-974,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,100 - 1000 μL,Other,No,No,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,,
1770,1770: Pipettor,PB,VWR,VWR VE200,742751115,VWR,89079-970,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,20 - 200 μL,Other,No,No,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,,
1771,1771: Pipettor,PB,VWR,VWR VE20,742731325,VWR,89079-964,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,2 - 20 μL,Other,No,No,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP Pipette: calibration typically done annually but not required.,N/A,,
1772,1772: Pipettor,PB,VWR,VWR VE10,742720720,VWR,89079-962,38152,Yes,VWR Signature Ergonomic High-Performance Pipettor,General lab use in research and development,0.5 - 10 μL,Other,No,No,No,non-GMP pipette: calibration typically done annually but not required.,N/A,N/A,No,non-GMP pipette: calibration typically done annually but not required.,N/a,N/A,No (Calibration/Maintenance Not Required),Tier 4,No,non-GMP pipette: calibration typically done annually but not required.,N/A,,
